age,population,status
age-15-19,1,離別
age-15-19,3539,総数
age-15-19,5,配偶関係「不詳」
age-15-19,4,有配偶
age-15-19,3529,未婚
age-15-19,0,死別
age-20-24,17,配偶関係「不詳」
age-20-24,17,離別
age-20-24,1,死別
age-20-24,206,有配偶
age-20-24,2426,未婚
age-20-24,2667,総数
age-25-29,45,離別
age-25-29,2,死別
age-25-29,1983,未婚
age-25-29,1197,有配偶
age-25-29,3254,総数
age-25-29,27,配偶関係「不詳」
age-30-34,2452,有配偶
age-30-34,138,離別
age-30-34,3984,総数
age-30-34,30,配偶関係「不詳」
age-30-34,1360,未婚
age-30-34,4,死別
age-35-39,4607,総数
age-35-39,34,配偶関係「不詳」
age-35-39,207,離別
age-35-39,3316,有配偶
age-35-39,1037,未婚
age-35-39,13,死別
age-40-44,1045,未婚
age-40-44,3922,有配偶
age-40-44,21,死別
age-40-44,382,離別
age-40-44,37,配偶関係「不詳」
age-40-44,5407,総数
age-45-49,30,配偶関係「不詳」
age-45-49,46,死別
age-45-49,729,未婚
age-45-49,327,離別
age-45-49,4357,総数
age-45-49,3225,有配偶
age-50-54,80,死別
age-50-54,3114,有配偶
age-50-54,23,配偶関係「不詳」
age-50-54,454,未婚
age-50-54,324,離別
age-50-54,3995,総数
age-55-59,3816,総数
age-55-59,294,離別
age-55-59,27,配偶関係「不詳」
age-55-59,313,未婚
age-55-59,127,死別
age-55-59,3055,有配偶
age-60-64,238,死別
age-60-64,270,未婚
age-60-64,32,配偶関係「不詳」
age-60-64,3531,有配偶
age-60-64,4368,総数
age-60-64,297,離別
age-65-69,5227,総数
age-65-69,190,未婚
age-65-69,4230,有配偶
age-65-69,36,配偶関係「不詳」
age-65-69,427,死別
age-65-69,344,離別
age-70-74,27,配偶関係「不詳」
age-70-74,214,離別
age-70-74,2991,有配偶
age-70-74,603,死別
age-70-74,105,未婚
age-70-74,3940,総数
age-75-79,52,配偶関係「不詳」
age-75-79,2136,有配偶
age-75-79,3157,総数
age-75-79,816,死別
age-75-79,101,離別
age-75-79,52,未婚
age-80-84,1452,有配偶
age-80-84,42,未婚
age-80-84,43,配偶関係「不詳」
age-80-84,1020,死別
age-80-84,66,離別
age-80-84,2623,総数
age-85-89,45,配偶関係「不詳」
age-85-89,646,有配偶
age-85-89,22,未婚
age-85-89,1769,総数
age-85-89,52,離別
age-85-89,1004,死別
age-90-94,20,離別
age-90-94,592,死別
age-90-94,12,未婚
age-90-94,811,総数
age-90-94,156,有配偶
age-90-94,31,配偶関係「不詳」
age-95-99,206,死別
age-95-99,0,離別
age-95-99,3,未婚
age-95-99,242,総数
age-95-99,27,有配偶
age-95-99,6,配偶関係「不詳」
age-over100,1,有配偶
age-over100,42,総数
age-over100,1,未婚
age-over100,0,離別
age-over100,39,死別
age-over100,1,配偶関係「不詳」
age-over15,57805,総数
age-over15,503,配偶関係「不詳」
age-over15,35661,有配偶
age-over15,2829,離別
age-over15,5239,死別
age-over15,13573,未婚
